exper_data_id	data_group_name	data_id	pop_label	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward	population	population2
B301-20181112_102812_proc_herm	B301	CA3100noML0_NGM_B301_herm	CA3100noML0_herm	20181112	102812	1197.037	368.852810650888	2793	860.629955588615	2.93481645831687	24.4	44	Paris2	NGM	-1.52963349563436	-2.4685254314297	-1.0803835639018	-4.26630442409613	-0.528041239771166	-1.9967664329553	-0.263932608852577	0.0139389389665741	-2.71458681303478	CA3100	pops
B301-20181112_110953_proc_herm	B301	A660L0_NGM_B301_herm	A660L0_herm	20181112	110953	1199.646	278.026457399103	5298	1227.84902487938	3.08914496966126	24.4	43	Paris2	NGM	-1.07967698470678	-1.99307557590681	-1.17850812796818	-4.33421221633359	-0.49521816588446	-1.85038559917041	-0.706259542205586	0.395450051172137	-2.55666299981887	A660	pops
B301-20181112_121212_proc_herm	B301	A6140L0_NGM_B301_herm	A6140L0_herm	20181112	121212	1198.275	294.950854700855	4148	1021.01449608741	3.00903190812617	24	40	Paris2	NGM	-1.03037633740512	-2.15204122173671	-0.956315431116729	-4.27336769811721	-0.148545997359173	-2.27377006580002	-0.476208954142739	0.231116541226051	-2.76349589217515	A6140	pops
B301-20181112_123238_proc_herm	B301	A0noML0_NGM_B301_herm	A0noML0_herm	20181112	123238	1197.512	449.924050632911	2242	842.354583101453	2.92549494312502	23.8	40	Paris2	NGM	-1.59267792158912	-2.22633430154089	-0.695757582999955	-4.02438288844343	-0.120492475919551	-2.69552564122542	0.11589179924609	-0.461452815751138	-2.38377666321217	A0	pops
B301-20181112_125305_proc_herm	B301	CA350L0_NGM_B301_herm	CA350L0_herm	20181112	125305	1204.802	332.065972222222	3502	965.21672002721	2.98462483639533	23.7	41	Paris2	NGM	-1.41843465729492	-2.3364395162128	-0.972855197766855	-4.06078203193101	-0.303565744726162	-2.3291140209327	-0.29217672658864	0.0111272941339266	-2.59057982350967	CA350	pops
B301-20181112_131349_proc_herm	B301	CA3100L0_NGM_B301_herm	CA3100L0_herm	20181112	131349	1273.437	278.768484848485	4430	969.772660821688	2.98666993661428	23.9	42	Paris2	NGM	-1.26077387425039	-2.3677049403908	-1.04630374024675	-4.17803780997721	-0.242025348969391	-2.14850510769151	-0.449664218683837	0.205982568029733	-2.76500028537681	CA3100	pops
B301-20181112_133556_proc_herm	B301	A6140noML0_NGM_B301_herm	A6140noML0_herm	20181112	133556	1296.836	432.067017082786	3104	1034.16007962839	3.01458776923984	24	42	Paris2	NGM	-1.85369702281624	-2.66743383375328	-1.30024048131286	-4.2886241156437	-0.492209437866067	-2.25266962580614	-0.257973932528869	0.00732696136738696	-2.71135836937054	A6140	pops
B301-20181112_142008_proc_herm	B301	CA350noML0_NGM_B301_herm	CA350noML0_herm	20181112	142008	1255.243	406.043697478992	2369	766.319763844715	2.88441002641538	24	43	Paris2	NGM	-1.40370877957394	-2.43315141325598	-1.04344058424415	-4.4462953330464	-0.359898768979801	-2.36446558741191	-0.369838556753358	0.127048536162006	-2.75685825653878	CA350	pops
B301-20181112_144136_proc_herm	B301	A660noML0_NGM_B301_herm	A660noML0_herm	20181112	144136	1297.703	285.289281997919	4008	881.125683031987	2.94503786023294	23.9	43	Paris2	NGM	-1.10952143514235	-2.27622863161481	-1.06846500527623	-4.4451720160173	-0.0370851453769329	-2.28812538137975	-0.594853466576665	0.394381435111704	-3.00632414811826	A660	pops
B301-20181112_150621_proc_herm	B301	CA1100L0_NGM_B301_herm	CA1100L0_herm	20181112	150621	1197.724	301.055292259084	4157	1044.88751158114	3.01906953855314	23.7	42	Paris2	NGM	-1.52290424184348	-2.39774337267794	-1.1068385720047	-3.79475134654356	-0.298004469468502	-1.97625602109567	-0.430012464387259	0.161988856354902	-2.65848841334396	CA1100	pops
