exper_data_id	data_group_name	data_id	pop_label	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward	population	population2
B301-20181112_102812_proc_male	B301	CA3100noML0_NGM_B301_male	CA3100noML0_male	20181112	102812	1197.037	120.222222222222	2793	280.509847788052	2.447948112526	24.4	44	Paris2	NGM	-0.24049316481364	-0.70090521621001	-1.75793597928569	-1.9988336180562	-0.937957623297529	-0.448969520969584	-2.01347674118453	1.1413574197658	-1.95254581681053	CA3100	pops
B301-20181112_110953_proc_male	B301	A660L0_NGM_B301_male	A660L0_male	20181112	110953	1199.646	214.333333333333	5298	946.560902132796	2.97614856189126	24.4	43	Paris2	NGM	0.0750247240495655	-0.465879212163894	-1.32285436691969	-1.91547623440747	-0.388415761836037	-0.450663782016361	-1.73500618183634	1.00436075721019	-2.01019601733656	A660	pops
B301-20181112_121212_proc_male	B301	A6140L0_NGM_B301_male	A6140L0_male	20181112	121212	1198.275	155.635174418605	4148	538.753377553877	2.73139000585726	24	40	Paris2	NGM	-0.297079304233258	-1.05334002619653	-1.74374454357554	-2.41307091453653	-0.49759067953668	-0.573581046122002	-1.80974954168577	1.18390783013581	-2.26948550041139	A6140	pops
B301-20181112_123238_proc_male	B301	A0noML0_NGM_B301_male	A0noML0_male	20181112	123238	1197.512	152.545851528384	2242	285.598640453405	2.45575613571972	23.8	40	Paris2	NGM	-0.182477134167837	-0.843966018925981	-1.87947832427613	-2.18897351784223	-0.813310227073095	-0.525770470170549	-1.88563781932888	1.03465091433683	-1.8970671227287	A0	pops
B301-20181112_125305_proc_male	B301	CA350L0_NGM_B301_male	CA350L0_male	20181112	125305	1204.802	124.700767263427	3502	362.467929964029	2.55926958758071	23.7	41	Paris2	NGM	-0.249736887578394	-1.04881747097947	-1.85865169042518	-2.14055765040653	-0.910251224333599	-0.33581792332837	-2.0309514848322	1.16568845946909	-1.97695439475932	CA350	pops
B301-20181112_131349_proc_male	B301	CA3100L0_NGM_B301_male	CA3100L0_male	20181112	131349	1273.437	135.665926748058	4430	471.9511491294	2.6738970478682	23.9	42	Paris2	NGM	-0.0542085154894547	-0.994739442351048	-1.73899347084842	-2.51115493681134	-0.499627191613446	-0.575829701469906	-1.93515034777274	1.30268760337444	-2.34415564179205	CA3100	pops
B301-20181112_133556_proc_male	B301	A6140noML0_NGM_B301_male	A6140noML0_male	20181112	133556	1296.836	157.476608187135	3104	376.923058746723	2.5762527067787	24	42	Paris2	NGM	-0.537201533073078	-1.39130897907475	-2.00247984942475	-2.23330293401542	-1.02237329283728	-0.516261170487442	-1.8313084706674	1.07119649349515	-2.02025002787224	A6140	pops
B301-20181112_142008_proc_male	B301	CA350noML0_NGM_B301_male	CA350noML0_male	20181112	142008	1255.243	87.9130434782609	2369	165.916878245885	2.21989056779774	24	43	Paris2	NGM	-0.408007687791396	-1.34028928198294	-1.58268317837173	-1.83355380331892	-0.842467016628423	-0.224596640342833	-1.7414077629729	0.966333415260676	-1.93246744698729	CA350	pops
B301-20181112_144136_proc_male	B301	A660noML0_NGM_B301_male	A660noML0_male	20181112	144136	1297.703	121.488047808765	4008	375.219981473057	2.57428595767191	23.9	43	Paris2	NGM	0.155939429112469	-0.712562512390675	-1.67273033227172	-2.8859744116539	-0.310471947176867	-0.771358781157776	-2.01662586036365	1.37493153007375	-2.38458278078086	A660	pops
B301-20181112_150621_proc_male	B301	CA1100L0_NGM_B301_male	CA1100L0_male	20181112	150621	1197.724	133.20275862069	4157	462.313410757576	2.6649364916071	23.7	42	Paris2	NGM	-0.272857750406693	-1.0054698022835	-1.73836894064745	-2.31362852455589	-0.755500626593971	-0.515187250394595	-1.8231867212985	1.07235608433732	-2.03180974010001	CA1100	pops
B301-20181112_160811_proc_male	B301	A0L0_NGM_B301_male	A0L0_male	20181112	160811	1296.467	120.446428571429	3734	346.901976128752	2.54020677380968	23.6	44	Paris2	NGM	-0.00849998453568886	-0.840408196208128	-1.76350769011728	-2.27133061921767	-0.539144008216164	-0.478542914407666	-1.99401031397292	1.23328416174793	-2.13465484207291	A0	pops
B301-20181112_163546_proc_male	B301	CA1100noML0_NGM_B301_male	CA1100noML0_male	20181112	163546	1223.923	124.722054380665	3376	344.026262754376	2.53659159761205	23.7	44	Paris2	NGM	0.0167271053951504	-0.853509831793076	-1.42619650995165	-2.76141923916246	-0.16909132693214	-0.819077365464932	-1.69282133413362	1.13870086173087	-2.34889307805155	CA1100	pops
B302-20181116_111649_proc_male	B302	CA1100noML0_NGM_B302_male	CA1100noML0_male	20181116	111649	1288.65	124.586776859504	6134	593.035571533154	2.773080744051	25	38	Paris2	NGM	-0.298314284804049	-1.19633129478363	-1.80219740426968	-2.43326276545714	-0.682327144490781	-0.473423725568276	-1.83740567802245	1.22294781651078	-2.31290623068939	CA1100	pops
B302-20181116_113941_proc_male	B302	A4140L0_NGM_B302_male	A4140L0_male	20181116	113941	1274.58	134.971326164875	8366	885.915450340771	2.94739227583445	25	37	Paris2	NGM	-0.737142674401374	-1.76978814013404	-2.04387668918808	-2.09362096026571	-1.29217262022214	-0.284034901978539	-1.74663347920028	1.04863467566743	-2.080414541255	A4140	pops
B302-20181116_120226_proc_male	B302	A460noML0_NGM_B302_male	A460noML0_male	20181116	120226	1241.853	126.449090909091	4700	478.567694624668	2.6799433785236	24.8	37	Paris2	NGM	-0.189934353736236	-1.07838000141868	-1.79899112398586	-2.42906579866854	-0.66842470011621	-0.526103710412899	-1.88110818713936	1.19144100091031	-2.18903283641391	A460	pops
B302-20181116_130831_proc_male	B302	CA2100noML0_NGM_B302_male	CA2100noML0_male	20181116	130831	1278.508	139.164556962025	6003	653.421672326679	2.81519353481618	24.7	37	Paris2	NGM	-0.303833621482544	-1.21157735101089	-1.89035621021184	-2.46390798714193	-0.859537250310781	-0.487630926265657	-1.96042913341317	1.2700659501264	-2.24449527798062	CA2100	pops
B302-20181116_133112_proc_male	B302	CA250noML0_NGM_B302_male	CA250noML0_male	20181116	133112	1246.078	155.475366178429	4109	512.687231158213	2.70985250116073	24.6	37	Paris2	NGM	-0.404309085004965	-1.32259399193112	-1.92441632037371	-2.54387754150335	-0.85776795133361	-0.561342774079098	-1.89583333933566	1.24420751571563	-2.27607768815945	CA250	pops
