"line"	"fertility"	"Std. Error"	"z value"	"Pr(>|z|)"	"pop"	"popr"	"env"	"T12"	"T13"	"T21"	"T23"	"T31"	"T32"	"w"	"population"
"A6140L10"	0.881488607691001	0.0166805038526576	52.8454425284378	0	"A6140"	"A6140"	"NGM"	0.351250677209515	0.215789434153772	-0.429748132548197	-0.369228516286374	-0.227237514539947	0.060020844561081	1.44197880348534	"A6140"
"A6140L101"	0.0789466648747891	0.0261959565658099	3.01369658620627	0.00258085773967956	"A6140"	"A6140"	"NGM"	0.0238357295846659	0.138028838231538	0.384349966695807	0.401071834732162	0.339077107719353	0.0592717243342714	0.64627795073079	"A6140"
"A6140L102"	0.0692875908438864	0.023468975868146	2.95230568360374	0.00315410517798411	"A6140"	"A6140"	"NGM"	0.864055302573517	0.393302481016441	0.105557328521954	-1.33643855140189	0.127776890921759	-0.772005405698318	0.640065555453202	"A6140"
"A6140L103"	0.145466491663991	0.0259435812700757	5.60703204964913	2.05825558636158e-08	"A6140"	"A6140"	"NGM"	0.380206507023999	0.117045399668294	0.168158592001316	-0.672446170180109	0.0515886622721585	-0.437315820841043	0.690730340512661	"A6140"
"A6140L105"	-0.33881596722921	0.0423715407080983	-7.99630982416586	1.28203541223675e-15	"A6140"	"A6140"	"NGM"	0.316227644302481	0.429544248892469	-0.190307253901661	0.00625410635181972	-0.193324973302737	-0.0856857785754087	0.425586000289852	"A6140"
"A6140L106"	-0.0151414612197039	0.0254596217249277	-0.594724516463605	0.552027631171569	"A6140"	"A6140"	"NGM"	0.415167833529877	0.562344936128547	-0.0143956500203725	1.11834968713572	0.102913528711548	0.903904395553608	0.588243836250348	"A6140"
"A6140L107"	0.757107762670222	0.0207453433648954	36.4953112297662	1.31609186712322e-291	"A6140"	"A6140"	"NGM"	-0.0309114553768322	0.0740521406083356	0.232865693192829	-0.318701022034148	0.0796840214338165	-0.318976008572238	1.27332997224396	"A6140"
"A6140L109"	-0.00122682631807548	0.0310651324075972	-0.0394920678907343	0.968498077491287	"A6140"	"A6140"	"NGM"	0.445096859759402	0.139835129087751	0.0494337774294125	-0.791941453902774	-0.0172485678502494	-0.567123426403517	0.596486246541012	"A6140"
"A6140L11"	0.773368310507313	0.020214674849455	38.2577665120428	0	"A6140"	"A6140"	"NGM"	-0.0998478040054938	0.0860481385681796	0.214034211319178	0.66138446439893	0.251512440939479	0.444599607593541	1.29420426898265	"A6140"
"A6140L110"	0.784969108234769	0.020565711909012	38.1688274010487	0	"A6140"	"A6140"	"NGM"	0.0193351603754247	0.127638096946078	-0.0159562266191093	0.291849846521075	0.0892078309716602	0.184676604967653	1.30930549469963	"A6140"
"A6140L113"	0.385234593435861	0.0235662636771527	16.3468676542622	4.57922158122935e-60	"A6140"	"A6140"	"NGM"	0.521669389402217	0.637019434666249	-0.223091907442468	0.970775352626492	-0.34261775325024	1.05558786098851	0.87788675448828	"A6140"
"A6140L114"	0.32307182313272	0.0205842176295387	15.6951227851918	1.63326330732017e-55	"A6140"	"A6140"	"NGM"	-0.269093832957819	-0.0716499246213074	0.318075872075657	0.309821458406689	0.221079892271931	0.0299790373947942	0.824976444489024	"A6140"
"A6140L115"	-0.00282137634319593	0.0364278917740915	-0.0774509916931994	0.938264777065609	"A6140"	"A6140"	"NGM"	-0.105417106279526	-0.181827189769677	-0.0769080819920418	-1.06720252509272	0.122881751817383	-1.0207109417673	0.595535877288631	"A6140"
"A6140L116"	0.354134977141529	0.026829871680974	13.1992795698929	8.85781235149278e-40	"A6140"	"A6140"	"NGM"	0.338154536829091	0.774264084247609	-0.121400632359523	0.253097462651768	-0.15590638962759	-0.219339828209792	0.851004986217618	"A6140"
"A6140L12"	0.949894981935273	0.0161099801969853	58.9631377767322	0	"A6140"	"A6140"	"NGM"	0.127503382688905	0.436920982642508	-0.313597532722662	0.686760740328538	-0.324486219128768	0.332323333947622	1.54407143019626	"A6140"
"A6140L120"	0.696468924551539	0.0226786990716103	30.7102679193533	4.15117109301416e-207	"A6140"	"A6140"	"NGM"	-0.0897770152409166	0.118574988413911	0.174690983170512	1.10130363093021	0.1473189481178	0.602017319509023	1.19841117207425	"A6140"
"A6140L122"	0.779705915813045	0.0173674677612104	44.8946228968676	0	"A6140"	"A6140"	"NGM"	0.0725993456968589	-0.096504052650637	-0.114028337322852	-0.587532756600523	0.00681438739479642	-0.270457439865452	1.30243247083168	"A6140"
"A6140L123"	0.780540164008616	0.0210638656409025	37.0558841057616	1.44384403246695e-300	"A6140"	"A6140"	"NGM"	-0.491651085045038	-0.372431941162771	0.27956333973703	0.154163078032051	0.124446419043775	-0.311082616323575	1.30351947612338	"A6140"
"A6140L125"	0.879138831997659	0.016854563296523	52.1602854094131	0	"A6140"	"A6140"	"NGM"	-0.0878088143977345	-0.0774153995383472	0.259353220431687	-0.0847020168642615	0.127380224605355	-0.216645762304639	1.43859445453026	"A6140"
"A6140L126"	0.372731416395348	0.0209642325232185	17.7793971700388	1.02071577202798e-70	"A6140"	"A6140"	"NGM"	0.32559520741993	0.320234409394509	-0.210939663526135	0.266983934923134	-0.10412566469519	0.542611147138727	0.866978715649368	"A6140"
"A6140L13"	0.58094124685163	0.0218032088393565	26.6447590871572	2.05832724626065e-156	"A6140"	"A6140"	"NGM"	-0.242824588266011	-0.184653827735776	0.0648771522533008	0.118194575662071	0.0215784362670573	-0.0885677090214169	1.06765961642828	"A6140"
"A6140L133"	0.775492441066089	0.0166582378606483	46.5530896817142	0	"A6140"	"A6140"	"NGM"	-0.104993440325344	0.133145280180669	-0.0590514716433248	-0.0828879515810292	0.0109872777986458	-0.155944878473878	1.29695624956799	"A6140"
"A6140L134"	-0.273422155468736	0.0310442720732028	-8.80749127645844	1.27977764114088e-18	"A6140"	"A6140"	"NGM"	1.04578071335412	0.528825143925705	-0.14869729974828	-0.746748848313454	-0.123769528805724	0.240695489721368	0.454346832759785	"A6140"
"A6140L135"	0.127469839945611	0.024436873076421	5.21629095289634	1.8254137221582e-07	"A6140"	"A6140"	"NGM"	0.450240630218069	0.597838438509722	-0.248735053113364	-0.260477887348647	-0.1372354742638	-0.62017078256103	0.678410695825376	"A6140"
"A6140L137"	-0.317689789431664	0.0371281413694003	-8.55657670204554	1.16268489257848e-17	"A6140"	"A6140"	"NGM"	-0.474103380067815	-1.06518640651047	0.806119900304494	0.619800255200408	0.503657748471327	0.461385413017131	0.434672650941931	"A6140"
"A6140L142"	0.808852462537076	0.0199957014708312	40.4513171851956	0	"A6140"	"A6140"	"NGM"	-0.52903839930881	-0.190406941226227	0.53382811769622	-0.129041950878487	0.241416575262289	-0.843560372583942	1.34095251591703	"A6140"
"A6140L150"	0.77877463724238	0.0178125058165614	43.7206671123333	0	"A6140"	"A6140"	"NGM"	0.0394346093439928	0.0881714897736301	-0.0632049147663762	-0.569620942181215	0.00518647198344951	-0.262901398348299	1.30122010799324	"A6140"
"A6140L153"	0.74222323379631	0.0181918331098127	40.7998044680804	0	"A6140"	"A6140"	"NGM"	-0.297629789268557	-0.298482983324095	-0.27471823799318	-0.0610458429620772	-0.140535900592116	0.157011632331734	1.25451741088681	"A6140"
"A6140L155"	0.56460910447647	0.0219575682241798	25.7136445489769	8.22637714627951e-146	"A6140"	"A6140"	"NGM"	-0.0235862309567792	0.0677692645215526	-0.164333927724055	-0.0328182976147318	-0.0226367946316877	-0.0411315834525348	1.05036406868652	"A6140"
"A6140L156"	0.464194048502274	0.019775561151992	23.4731163851457	7.67778452707937e-122	"A6140"	"A6140"	"NGM"	0.31786879815041	0.333848529218286	-0.476658496023773	-0.0814318763664129	-0.267144597162611	0.515445374745879	0.950014320947077	"A6140"
"A6140L157"	0.622808696947438	0.0212216161018629	29.3478448558291	2.54572524431974e-189	"A6140"	"A6140"	"NGM"	-0.211996283032197	0.0832262853311142	0.349157547973274	0.00198231730024584	0.179281497368499	-0.496141747339021	1.11330874041078	"A6140"
"A6140L158"	0.537214103873255	0.019551516838571	27.4768504310338	3.32016754342419e-166	"A6140"	"A6140"	"NGM"	-0.0710412381834878	-0.198142366010913	0.181227313990974	-0.374843367648939	0.049938965907156	-0.63114284889829	1.02197991152979	"A6140"
"A6140L16"	0.403963185720362	0.0286597829939215	14.0951236722916	4.06934346318817e-45	"A6140"	"A6140"	"NGM"	0.406312365748982	0.320129616535947	-0.252985086360241	-0.0830754362024702	-0.0491426312686474	0.0876180386662426	0.894483267130906	"A6140"
"A6140L168"	-0.550004757673803	0.106743203885609	-5.15259742684148	2.56903072058091e-07	"A6140"	"A6140"	"NGM"	0.164248493986207	0.129635927047935	0.076300504190456	0.012269357284399	0.197896229716879	0.00264769797622274	0.344563449834742	"A6140"
"A6140L169"	-0.142054419366856	0.0293302616483898	-4.84327146718973	1.2771860209217e-06	"A6140"	"A6140"	"NGM"	-0.554365313308488	-0.800281067561723	0.595202710924668	0.471940618396533	0.455214237380492	0.347783097962539	0.518131251424854	"A6140"
"A6140L175"	0.377095448721213	0.0199301990237012	18.920806976025	7.68685312450597e-80	"A6140"	"A6140"	"NGM"	0.0190689918911815	-0.137448497034049	-0.0411403627773248	-0.777794519286132	0.0219374841486697	-0.408120516966555	0.870770506521452	"A6140"
"A6140L176"	0.740243958006912	0.0250554163802215	29.5442688628097	7.78036314722089e-192	"A6140"	"A6140"	"NGM"	-0.220720274952337	-0.107985474475662	-0.305872860381869	0.589899246734992	-0.35655233932333	0.673714896459016	1.2520368306341	"A6140"
"A6140L179"	0.114523850309966	0.0284070428960244	4.03153016416199	5.54148825883158e-05	"A6140"	"A6140"	"NGM"	-0.103244863555804	-0.397748002408779	-0.673437004218676	-0.793977163899967	-0.297836153838537	0.0493082152122551	0.66968460381	"A6140"
"A6140L18"	0.492239621307498	0.0188241932276492	26.149307720901	1.00355189505004e-150	"A6140"	"A6140"	"NGM"	-0.670618762698189	-0.616112955098435	-0.000327930760801842	0.394519510918197	0.0670851922885136	0.0567249809419584	0.977035153018673	"A6140"
"A6140L181"	0.463392476570511	0.0366274027248789	12.6515243259592	1.09725048088069e-36	"A6140"	"A6140"	"NGM"	-0.474824086459827	-0.31842381361911	0.212063810217744	0.54953815451944	0.150864452588793	0.118791532019263	0.949253121251546	"A6140"
"A6140L183"	0.207763352351132	0.0220619495515256	9.4172707568704	4.62965169715144e-21	"A6140"	"A6140"	"NGM"	-0.68778882970927	-0.520254537734688	0.213244857218228	1.08443621846585	0.0310358023630913	0.593007884264383	0.735129271258352	"A6140"
"A6140L185"	0.406614634745043	0.0235862337128585	17.2394897674302	1.3421616726066e-66	"A6140"	"A6140"	"NGM"	-0.0562877586118615	-0.242924661810836	0.118966314839516	0.0422056344506191	0.101296985758247	0.159995976620879	0.896858090887914	"A6140"
"A6140L188"	0.355249173235457	0.0204933067482471	17.3348878050558	2.56567243025798e-67	"A6140"	"A6140"	"NGM"	0.0444869167324436	0.112913141809508	0.0792927613850063	-0.0906036989174055	0.00266943022032662	-0.0266009798702253	0.851953701078224	"A6140"
"A6140L19"	0.488049483943926	0.0197607839089588	24.6978807213545	1.12705145173667e-134	"A6140"	"A6140"	"NGM"	-0.679631745312213	-0.641384092628363	0.138327627035501	-0.721551004660836	0.0241665541712815	-1.08607739517756	0.972949806577156	"A6140"
"A6140L192"	0.14309446137952	0.0188973662728986	7.57219071235002	3.66982167947281e-14	"A6140"	"A6140"	"NGM"	-1.19742532924991	-1.50698705599283	0.947255662048408	2.68499241709083	0.41538720914361	3.08310251827638	0.68909384889771	"A6140"
"A6140L2"	0.390710522451879	0.0199983687078207	19.5371196601194	5.30951287087897e-85	"A6140"	"A6140"	"NGM"	0.132121644728711	0.192680440591816	-0.107903068082764	-0.68450089488661	-0.0656026774446789	-0.629793124874066	0.882707186165437	"A6140"
"A6140L200"	0.371925052156736	0.0247181848917112	15.0466166422056	3.63347626310169e-51	"A6140"	"A6140"	"NGM"	0.61099244235887	0.615403368710328	-0.566617128603764	0.543390867598404	-0.166850786256322	0.650473555065177	0.866279896806559	"A6140"
"A6140L201"	0.382187244996758	0.0235929540838145	16.1992111559676	5.10780837939219e-59	"A6140"	"A6140"	"NGM"	0.229732829307253	-0.0271349313148321	-0.144829555261875	0.340593526189582	-0.182468159656612	0.509933964884341	0.87521559969408	"A6140"
"A6140L203"	-0.19055146142992	0.0312590575470733	-6.09587992673698	1.08837088111688e-09	"A6140"	"A6140"	"NGM"	-1.00747358655775	-1.17703342253852	0.214236890141951	0.651117318283057	-0.0143991580261836	0.376570425496626	0.493602999437988	"A6140"
"A6140L205"	0.694958904183098	0.0207313872801941	33.5220646255078	2.29938421550496e-246	"A6140"	"A6140"	"NGM"	-0.195369129870653	0.0133421637221425	0.240941554638116	0.0786073829632156	0.0520600300353405	-0.0984382637998003	1.19660291239272	"A6140"
"A6140L21"	0.411665252089198	0.0229753633289005	17.9176819184995	8.58308736317589e-72	"A6140"	"A6140"	"NGM"	0.0560433797005454	0.206203991726633	-0.0497935365136009	-0.494106351541223	-0.167839090099128	-0.620504528959471	0.90139923605704	"A6140"
"A6140L211"	0.570687755393472	0.0190896604530697	29.8951234253987	2.27703324076496e-196	"A6140"	"A6140"	"NGM"	-0.291673596137438	-0.442687852638104	0.0422891884816717	-0.242412961708436	0.0281983057623591	-0.303744817806752	1.05676831004994	"A6140"
